"","name","position","team","xP","assists","bonus","bps","clean_sheets","creativity","element","expected_assists","expected_goal_involvements","expected_goals","expected_goals_conceded","fixture","goals_conceded","goals_scored","ict_index","influence","kickoff_time","minutes","opponent_team","own_goals","penalties_missed","penalties_saved","red_cards","round","saves","selected","starts","team_a_score","team_h_score","threat","total_points","transfers_balance","transfers_in","transfers_out","value","was_home","yellow_cards","GW"
"3","Armando Broja","FWD","Chelsea",2,0,0,3,0,0.3,150,0,0,0,0,3,0,0,2.5,5.2,"2022-08-06T16:30:00Z",15,8,0,0,0,0,1,0,124903,0,1,0,19,1,0,0,0,55,"False",0,1
"4","Fabian Schär","DEF","Newcastle",2.4,0,3,43,1,14.6,366,0,0,0,0,7,0,1,10.6,66,"2022-08-06T14:00:00Z",90,16,0,0,0,0,1,0,40132,0,0,2,25,15,0,0,0,45,"True",0,1
"5","Jonny Evans","DEF","Leicester",1.9,0,0,15,0,1.3,249,0,0,0,0,6,2,0,1.5,14,"2022-08-07T13:00:00Z",90,4,0,0,0,0,1,0,24256,0,2,2,0,1,0,0,0,45,"True",0,1
"7","Cheick Doucouré","MID","Crystal Palace",1.1,0,0,16,0,3.8,514,0,0,0,0,1,1,0,1,5.8,"2022-08-05T19:00:00Z",74,1,0,0,0,0,1,0,9875,0,2,0,0,2,0,0,0,50,"True",0,1
"9","Luke Cundle","MID","Wolves",1.5,0,0,0,0,0,485,0,0,0,0,5,0,0,0,0,"2022-08-06T14:00:00Z",0,11,0,0,0,0,1,0,36521,0,1,2,0,0,0,0,0,45,"False",0,1
"11","Brandon Austin","GK","Spurs",1.5,0,0,0,0,0,451,0,0,0,0,8,0,0,0,0,"2022-08-06T14:00:00Z",0,17,0,0,0,0,1,0,27621,0,1,4,0,0,0,0,0,40,"True",0,1
"12","Luka Milivojevic","MID","Crystal Palace",0.5,0,0,3,0,1.4,158,0,0,0,0,1,1,0,0.2,0.8,"2022-08-05T19:00:00Z",15,1,0,0,0,0,1,0,54854,0,2,0,0,1,0,0,0,45,"True",0,1
"13","Wesley Fofana","DEF","Leicester",1.9,0,0,12,0,3.3,272,0,0,0,0,6,2,0,2.9,19.2,"2022-08-07T13:00:00Z",90,4,0,0,0,0,1,0,128115,0,2,2,6,1,0,0,0,45,"True",0,1
"14","Gianluca Scamacca","FWD","West Ham",0.3,0,0,1,0,0.7,529,0,0,0,0,10,1,0,0.1,0,"2022-08-07T15:30:00Z",33,13,0,0,0,0,1,0,100675,0,2,0,0,1,0,0,0,70,"True",0,1
"17","Sam Greenwood","FWD","Leeds",0.5,0,0,4,0,0.5,237,0,0,0,0,5,0,0,2.2,0.4,"2022-08-06T14:00:00Z",17,20,0,0,0,0,1,0,1895580,0,1,2,21,1,0,0,0,45,"True",0,1
"18","Nathaniel Chalobah","MID","Fulham",0,0,0,0,0,0,203,0,0,0,0,4,0,0,0,0,"2022-08-06T11:30:00Z",0,12,0,0,0,0,1,0,12756,0,2,2,0,0,0,0,0,45,"True",0,1
"21","Jason Steele","GK","Brighton",0.5,0,0,0,0,0,102,0,0,0,0,9,0,0,0,0,"2022-08-07T13:00:00Z",0,14,0,0,0,0,1,0,75605,0,2,1,0,0,0,0,0,40,"False",0,1
"22","Tosin Adarabioyo","DEF","Fulham",0.4,0,0,11,0,0.4,209,0,0,0,0,4,2,0,1.9,18.4,"2022-08-06T11:30:00Z",90,12,0,0,0,0,1,0,5971,0,2,2,0,1,0,0,0,45,"True",0,1
"23","Kalvin Phillips","MID","Man City",2.6,0,0,3,0,0.5,325,0,0,0,0,10,0,0,0.1,0.6,"2022-08-07T15:30:00Z",1,19,0,0,0,0,1,0,45423,0,2,0,0,1,0,0,0,50,"False",0,1
"25","Marek Rodák","GK","Fulham",0.7,0,0,11,0,0,213,0,0,0,0,4,2,0,1,10.2,"2022-08-06T11:30:00Z",90,12,0,0,0,0,1,1,12206,0,2,2,0,1,0,0,0,45,"True",0,1
"26","Ryan Fraser","MID","Newcastle",2.5,0,0,4,0,10.3,359,0,0,0,0,7,0,0,1.3,2.2,"2022-08-06T14:00:00Z",9,16,0,0,0,0,1,0,14743,0,0,2,0,1,0,0,0,55,"True",0,1
